Unnamed: 0,S35 — Plantilla de Extracción de Datos,Unnamed: 2
,A. IDENTIFICACIÓN DEL ESTUDIO,
,Código de estudio,S35
,Título completo,Agricultural UAV Crop Spraying Path Planning Based on PSO-A* Algorithm
,DOI,10.35633/inmateh-71-54
,Año de publicación,2023
,Revista / Congreso,INMATEH Agricultural Engineering
,Fuente de identificación,OpenAlex supplementary search (2026-03-29)
,Razón de elegibilidad (screening),PSO-A* híbrido para path planning de UAV en fumigación agrícola. Coincidencia clara I4+I5.
,Autores (extraer del texto completo),
,Afiliación institucional de autor principal,
,País del autor principal,
,,
,B. VERIFICACIÓN A TEXTO COMPLETO — CRITERIOS I1–I5 / E1–E5,
,I1: Publicado 2021–2025,— Verificar fecha exacta de publicación
,I2: Peer-reviewed con texto completo,— Confirmar que tiene metodología completa (no solo abstract)
,I3: Texto en inglés,— Confirmar idioma del texto completo
,I4: Algoritmo SI aplicado a path planning UAV,Sí; utiliza PSO.
,I4b: Multi-UAV framework / single-agent validation,1 (single-agent).
,I5: Aplicación agrícola,Sí; planeación de rutas para pulverización de pesticidas.
,E3: ¿Excluir por single-UAV sin framework multi?,"Sí (Dado que es single-UAV, se activa la exclusión E3)."
,E4: ¿Excluir por método no-SI?,— Si el core del método no es SI → EXCLUIR bajo E4
,E5: ¿Excluir por dominio no-agrícola?,— Si la aplicación principal no es agrícola → EXCLUIR bajo E5
,,
,DECISIÓN FINAL (INCLUIR / EXCLUIR + criterio),"EXCLUIR [E3] (Nota: es un modelo Single-UAV, incumple requisito Multi-UAV)"
,,
,C. ALGORITMO Y METODOLOGÍA (completar si INCLUIDO),
,Tipo de algoritmo SI (PSO / ACO / ABC / GWO / SSA / DBO / híbrido / otro),Híbrido
,Nombre exacto del algoritmo según el paper,Improved Particle Swarm Optimization algorithm combined with the A* algorithm (PSO-A*)
,Modificaciones al algoritmo base (si aplica),"Factor de convergencia no lineal, K-Means para inicialización, mutación de Cauchy."
,Tamaño del enjambre / número de agentes simulados,50
,Número de UAVs en el framework (1 / 2–5 / 6–10 / >10),1
,Tipo de validación (simulación / hardware testbed / campo real),Solo simulación
,Entorno de simulación utilizado (MATLAB / ROS-Gazebo / Python / otro),No menciona
,"¿Incorpora factores ambientales dinámicos? (viento, obstáculos, lluvia)",No (entorno estático con obstáculos fijos)
,Tipo de aplicación agrícola (monitoreo / fumigación / mapeo / otro),Fumigación (pesticide spraying)
,"Parámetros agrícolas específicos usados (tamaño campo, cultivo, cobertura)",Dimensiones de celda/campo (700x700m) y 30 puntos fijos de pulverización
,,
,D. MÉTRICAS REPORTADAS,
,Tiempo de ejecución / convergencia,No reporta valores numéricos de tiempo.
,Consumo de energía / batería,No reporta
,Criterio de convergencia,Iteraciones máximas (200)
,Comparación con algoritmo baseline,"Sí (A*, PSO originario)"
,Otras métricas reportadas,"Fitness, longitud de trayectoria, suavidad."
,,
,E. DEPLOYMENT READINESS SCORE (DRS),
,C1 — Validación experimental (0.0 / 0.5 / 1.0),0.0
,C2 — Métricas cuantitativas (0.0 / 0.33 / 0.67 / 1.0),0.33
,C3 — Comparación baseline (0.0 / 1.0),1.0
,C4 — Contexto agrícola (0.0 / 1.0),1.0
,Q = 0.30·C1 + 0.25·C2 + 0.25·C3 + 0.20·C4,0.5325
,Clasificación DRS (High / Moderate / Low),Moderate
,,
,F. MMAT — RIESGO DE SESGO (versión 2018),
,Q1: ¿Pregunta de investigación explícita?,Y
,Q2: ¿Datos/simulación apropiados para la pregunta?,Y
,Q3: ¿Mediciones válidas y reproducibles?,Y
,Q4: ¿Método de análisis apropiado?,N
,Q5: ¿Conclusiones coherentes con los datos?,Y
,Número de Y (sobre 5),4
,Clasificación MMAT (High / Moderate / Low),High
,Notas MMAT,Observaciones sobre criterios específicos o 'Can't tell'
,,
,G. GAPS IDENTIFICADOS (completar si INCLUIDO),
,Gaps Tecnológicos identificados,Necesidad de integrar visión artificial/Deep Learning.
,Gaps Prácticos identificados,No mencionados.
,Gaps Metodológicos identificados,Falta método para seleccionar tareas inicialmente; sin validación en campo real.
,Gaps Teóricos identificados,"Planificación NP-Hard, no hay solución óptima absoluta (solo aproximaciones)."
,Número total de gaps identificados,← Contar y clasificar por dimensión
,,
,H. ESTADO Y NOTAS DEL REVISOR,
,Estado de extracción,COMPLETO
,Fecha de extracción,29/03/2026
,Revisor,Antigravity / NotebookLM
,Notas adicionales,"NotebookLM sugirió ""INCLUIR"" pero extrajo que usa ""1"" UAV. Se excluye categóricamente bajo la regla E3."
,Acción requerida en manuscrito,"Ej: Añadir a Tabla 3, actualizar conteo en §4.2, añadir a gap database"
